Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.642080,D5,189,1.13792,11,17.181818,14.345213
Description,after infection overnight,00002.042640,D5,66,0.76896,8,8.25,5.931905
,,00003.688720,B5,51,0.2132,9,5.666667,4.966555
Maestro Edge Settings,,00003.982560,C2,97,0.35088,8,12.125,7.833222
   Original File Time,08/25/2020 17:32:59,00011.372960,A3,82,0.98168,7,11.714286,18.226467
   Sampling Frequency,12.5 kHz,00011.045280,B5,231,1.242,11,21,20.858833
   Voltage Scale,-5.48486178148311E-08 V/sample,00013.455440,D5,84,0.25824,7,12,8.400681
   Experiment Start Time,08/25/2020 15:32:43,00017.709520,C1,140,0.2708,10,14,13.183323
   Referencing Method,Median,00022.679440,D4,57,0.42048,7,8.142857,7.679817
   Analog Mode Setting,Neural Spikes,00027.439680,B5,59,0.26032,10,5.9,5.957348
   Plate Type,BioCircuit MEA 24,00032.612000,B4,75,0.44024,8,9.375,10.850547
   Digital Low Pass Filter,3 kHz Kaiser Window,00045.490880,B6,149,3.258,7,21.285714,18.911179
   Digital High Pass Filter,200 Hz IIR,00056.764000,C1,139,0.3016,12,11.583333,11.898588
   Temperature Set Point,37.0 Degrees C,00059.180800,D2,90,0.7028,6,15,12.165525
   Current Temperature,37.0 Degrees C,00065.321760,C3,83,0.21312,6,13.833333,7.151146
   Heater Power,On,00066.144160,C3,246,1.01976,6,41,24.027761
   Barcode Plate Type,TwentyFourWellCircuit,00066.842880,B5,199,0.75688,11,18.090909,22.995867
   Plate Serial Number,66-1901,00067.492080,D5,59,0.15696,6,9.833333,4.740488
   CO2 Conc. Set Point,5.0 %,00067.760080,B5,112,0.84,10,11.2,11.754148
   Actual CO2 Conc.,5.0 %,00068.885040,B5,113,0.53048,9,12.555556,16.593914
   Gas Mixer Status,Regulating,00083.307040,D4,67,0.35592,6,11.166667,10.79223
   AxIS Version,3.0.3.2,00090.409360,C1,144,0.2988,10,14.4,12.034949
   Maestro Edge Firmware,3.0.3.2,00091.907760,D4,84,1.02752,8,10.5,13.5
   Maestro Edge BioCore Version,4B,00104.578720,B1,50,0.1824,8,6.25,8.317903
,,00104.860080,C2,96,0.2544,11,8.727273,7.085079
AxIS Batch Process,,00113.612400,D5,72,0.22096,9,8,7.438638
   AxIS Version,3.0.3.2,00117.216640,B1,50,0.22256,7,7.142857,9.598044
   File Name,o.n experimet read 1.raw,00123.813200,D4,79,1.12096,7,11.285714,15.396793
   Plate Type,BioCircuit MEA 24,00128.842160,B1,54,0.25616,8,6.75,9.858372
   Requested File Section,0s to 10m0s,00129.517760,D5,134,0.51968,10,13.4,10.121264
   Actual File Section Run,0s to 10m0s,00130.480560,D5,94,0.81144,8,11.75,8.728545
   Recording Offset from File Start,0s,00131.902560,A3,70,0.84016,8,8.75,14.592379
,,00147.489200,B4,63,0.3072,7,9,11.058287
Spike Detector Settings,,00149.587920,A2,56,0.49032,10,5.6,6.374951
   Method,Adaptive Threshold Crossing,00152.071280,C3,86,0.2912,6,14.333333,7.110243
   Threshold,6,00155.396400,D5,63,0.1588,8,7.875,5.666513
   Threshold Status,Variable,00158.483680,B6,97,1.39376,8,12.125,12.761637
   Threshold Crossing Only,True,00159.977680,B6,88,1.67088,6,14.666667,12.160957
   Pre-Spike Duration,0.84 ms,00160.847440,D4,146,0.87008,9,16.222222,20.836815
   Post-Spike Duration,2.16 ms,00161.522320,B3,124,0.68264,8,15.5,19.85573
   Coincident Event Filter,Default (Well),00167.317840,C1,146,0.44248,12,12.166667,13.359349
   Coincidence Occurrence Threshold,4 Electrodes,00168.799360,C1,67,0.33456,8,8.375,10.197273
   Coincidence Event Window,160 µs,00178.132640,D3,55,0.43312,9,6.111111,4.724509
   Allow Sample Overlap,false,00186.496320,C3,78,0.20784,7,11.142857,7.376189
   Spike Count Interval,1 s,00187.602080,C3,254,1.25416,7,36.285714,24.193945
,,00191.202560,B5,62,0.2636,10,6.2,4.578209
Burst Detector Settings,,00207.208400,B1,114,0.83352,10,11.4,17.777514
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00208.612960,B5,359,1.57752,10,35.9,45.255829
   Maximum Inter-Spike Interval,100 ms,00225.442880,B4,59,0.39312,7,8.428571,9.021516
   Minimum Number of Spikes,5,00234.933280,D5,56,0.1444,9,6.222222,4.848317
   Enable Network Burst Detection,True,00234.770240,B6,68,1.21824,8,8.5,7.632169
   Maximum Inter-Spike Interval (network bursts),100 ms,00238.077360,B5,176,0.78784,10,17.6,19.632627
   Minimum Number of Spikes (network bursts),50,00247.555680,A3,79,0.62056,9,8.777778,11.448219
   Minimum Participating Electrodes (%),35,00260.212960,D4,57,0.42432,9,6.333333,6.879922
   Synchrony Window,20 ms,00266.642320,B3,58,0.27984,7,8.285714,9.497583
,,00273.762880,B6,63,1.11576,8,7.875,9.033791
,,00273.786960,B3,189,2.57536,7,27,34.541901
,,00276.256800,D4,63,0.28664,6,10.5,9.160604
,,00279.793840,D5,60,0.19288,8,7.5,5.267827
,,00281.709200,D5,77,0.29944,9,8.555556,6.255861
,,00287.180720,D5,65,0.1772,7,9.285714,5.034575
,,00292.564080,D5,161,0.90056,10,16.1,12.177438
,,00293.973360,D5,80,0.34544,9,8.888889,6.17242
,,00305.750240,D4,63,0.2672,10,6.3,7.823682
,,00309.528080,D5,78,0.332,8,9.75,7.206768
,,00310.183040,A3,78,1.03272,6,13,21.158134
,,00311.908800,B5,350,1.68128,11,31.818182,40.613071
,,00314.161280,B5,76,0.69944,8,9.5,12.5499
,,00315.414240,D5,60,0.14424,9,6.666667,5.395472
,,00319.837200,B1,89,0.37504,9,9.888889,12.18783
,,00342.311680,D3,62,0.69832,7,8.857143,7.376189
,,00343.913600,B1,76,0.39776,12,6.333333,9.42809
,,00357.218640,B4,61,0.2744,7,8.714286,9.467452
,,00360.060560,C3,103,0.6044,6,17.166667,8.763878
,,00360.806000,C3,288,1.6604,6,48,24.344746
,,00367.051360,B6,126,2.04392,7,18,14.142136
,,00370.911280,B3,53,0.31808,6,8.833333,8.493462
,,00412.407200,A3,68,0.69824,6,11.333333,13.780018
,,00432.835120,C1,81,0.49056,10,8.1,7.647875
,,00436.429040,C3,83,0.2696,6,13.833333,8.254628
,,00436.628320,D3,56,0.46592,8,7,3.968627
,,00437.446640,C3,212,1.29968,6,35.333333,21.249836
,,00439.708480,B3,81,0.78768,6,13.5,14.127397
,,00441.453200,B3,98,0.69664,6,16.333333,21.753672
,,00443.304320,C1,73,0.35104,9,8.111111,6.838526
,,00447.157200,D4,106,0.30736,11,9.636364,13.282064
