Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.139840,C1,116,0.44416,10,11.6,10.613199
Description,after infection overnight,00005.152160,B2,66,1.32456,6,11,8.205689
,,00015.806960,A3,75,0.9696,8,9.375,18.172352
Maestro Edge Settings,,00019.748640,B5,193,1.34096,10,19.3,20.572069
   Original File Time,08/26/2020 05:32:59,00030.691520,B5,103,0.87272,9,11.444444,11.767291
   Sampling Frequency,12.5 kHz,00042.304640,D5,124,0.75584,10,12.4,10.734989
   Voltage Scale,-5.48486178148311E-08 V/sample,00047.718080,B5,114,0.60128,10,11.4,10.928861
   Experiment Start Time,08/25/2020 15:32:43,00049.005440,B2,75,1.41648,7,10.714286,7.105617
   Referencing Method,Median,00052.654480,B3,116,1.04952,6,19.333333,18.723127
   Analog Mode Setting,Neural Spikes,00058.993280,B1,139,0.60032,11,12.636364,17.986221
   Plate Type,BioCircuit MEA 24,00076.914720,A2,84,1.14456,8,10.5,18.874586
   Digital Low Pass Filter,3 kHz Kaiser Window,00083.410160,B6,83,1.386,8,10.375,11.725373
   Digital High Pass Filter,200 Hz IIR,00087.132080,B1,115,0.75744,11,10.454545,16.859653
   Temperature Set Point,37.0 Degrees C,00090.035440,B4,61,0.39056,8,7.625,8.092241
   Current Temperature,37.0 Degrees C,00100.235120,C3,95,0.34936,6,15.833333,8.414603
   Heater Power,On,00100.762240,C3,128,1.0004,6,21.333333,14.348829
   Barcode Plate Type,TwentyFourWellCircuit,00102.562240,C3,236,1.19096,8,29.5,25.372229
   Plate Serial Number,66-1901,00108.505280,A3,51,0.29264,9,5.666667,8.124039
   CO2 Conc. Set Point,5.0 %,00121.954560,C2,86,0.2656,9,9.555556,8.460511
   Actual CO2 Conc.,4.8 %,00124.797120,C3,72,0.42208,7,10.285714,6.134546
   Gas Mixer Status,Regulating,00131.736000,B6,56,1.06536,9,6.222222,6.562144
   AxIS Version,3.0.3.2,00138.129440,B5,533,2.10352,10,53.3,73.905411
   Maestro Edge Firmware,3.0.3.2,00160.594000,B5,135,0.84904,10,13.5,16.261919
   Maestro Edge BioCore Version,4B,00164.021680,B1,126,0.63912,11,11.454545,16.165977
,,00178.701680,B5,79,0.49496,9,8.777778,6.876333
AxIS Batch Process,,00179.038480,D5,112,0.64928,10,11.2,10.027961
   AxIS Version,3.0.3.2,00185.559760,D5,91,0.28256,9,10.111111,9.619938
   File Name,o.n experimet read 7.raw,00192.689360,C2,86,0.142,9,9.555556,7.057086
   Plate Type,BioCircuit MEA 24,00192.709120,C3,95,0.22888,6,15.833333,8.274795
   Requested File Section,0s to 10m0s,00193.211040,C1,66,0.23544,7,9.428571,6.986868
   Actual File Section Run,0s to 10m0s,00193.181360,C3,295,1.72312,8,36.875,28.937162
   Recording Offset from File Start,0s,00200.144400,C1,137,0.28144,11,12.454545,11.547244
,,00214.777600,D2,102,1.19448,6,17,13.96424
Spike Detector Settings,,00218.638400,B6,87,1.56456,9,9.666667,12.06464
   Method,Adaptive Threshold Crossing,00220.574800,B6,81,1.19872,7,11.571429,9.94064
   Threshold,6,00221.706800,A3,77,1.18096,8,9.625,18.754583
   Threshold Status,Variable,00221.092400,B5,304,2.29256,11,27.636364,33.605389
   Threshold Crossing Only,True,00233.273120,B5,90,0.78424,10,9,13.394029
   Pre-Spike Duration,0.84 ms,00236.611760,A2,76,0.61808,8,9.5,16.194136
   Post-Spike Duration,2.16 ms,00243.766560,D5,85,0.49368,9,9.444444,8.056896
   Coincident Event Filter,Default (Well),00259.560560,D5,67,0.5508,10,6.7,6.64906
   Coincidence Occurrence Threshold,4 Electrodes,00273.273520,B4,50,0.2456,8,6.25,5.804093
   Coincidence Event Window,160 µs,00298.622480,C1,147,0.65344,10,14.7,14.819244
   Allow Sample Overlap,false,00303.331440,B3,53,0.4956,6,8.833333,8.254628
   Spike Count Interval,1 s,00308.464080,A3,67,0.95096,8,8.375,14.026203
,,00314.648320,B1,146,1.25376,11,13.272727,19.358301
Burst Detector Settings,,00324.277520,A2,60,0.61296,8,7.5,10.862781
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00327.314720,B5,363,1.7024,10,36.3,46.62199
   Maximum Inter-Spike Interval,100 ms,00329.811760,B5,215,0.98976,9,23.888889,39.348713
   Minimum Number of Spikes,5,00332.623200,B1,107,0.25648,11,9.727273,12.344236
   Enable Network Burst Detection,True,00336.877440,C3,96,0.25832,8,12,8.87412
   Maximum Inter-Spike Interval (network bursts),100 ms,00337.318320,C3,101,1.01008,7,14.428571,14.30142
   Minimum Number of Spikes (network bursts),50,00338.480880,C3,170,0.60576,8,21.25,18.612831
   Minimum Participating Electrodes (%),35,00341.560560,B1,107,0.74568,11,9.727273,14.02654
   Synchrony Window,20 ms,00343.935920,B5,55,0.2924,8,6.875,7.355907
,,00387.409440,B1,52,0.19184,7,7.428571,8.909981
,,00390.338320,B6,90,1.43072,8,11.25,11.166356
,,00392.094400,B5,160,0.9316,10,16,16.958773
,,00393.878160,C1,150,0.37152,11,13.636364,14.066547
,,00394.737680,D5,171,1.32776,10,17.1,16.549623
,,00408.761440,A1,92,1.11368,6,15.333333,14.290634
,,00413.994240,C2,73,0.31264,8,9.125,8.866193
,,00428.093680,B3,100,0.89424,7,14.285714,14.48856
,,00432.883520,A2,63,0.65896,9,7,11.440668
,,00460.798800,C3,51,0.29376,6,8.5,3.593976
,,00467.476720,B5,65,0.15152,10,6.5,6.168468
