Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00017.522240,C3,195,1.35864,8,24.375,21.212835
Description,after infection overnight,00021.710080,D2,77,0.63504,6,12.833333,9.770988
,,00039.204720,A1,68,1.12008,6,11.333333,15.412838
Maestro Edge Settings,,00063.772480,B5,412,1.54704,10,41.2,55.365696
   Original File Time,08/27/2020 05:32:59,00068.645520,C3,80,0.27856,7,11.428571,8.295561
   Sampling Frequency,12.5 kHz,00069.428400,C3,58,0.7172,7,8.285714,8.81094
   Voltage Scale,-5.48486178148311E-08 V/sample,00072.528080,B4,51,0.42648,7,7.285714,6.712766
   Experiment Start Time,08/25/2020 15:32:43,00072.370480,B1,178,1.36928,10,17.8,29.952629
   Referencing Method,Median,00078.209200,C3,56,0.30112,6,9.333333,5.249339
   Analog Mode Setting,Neural Spikes,00091.037920,C3,58,0.21632,7,8.285714,5.674864
   Plate Type,BioCircuit MEA 24,00102.035120,A1,64,1.11648,6,10.666667,10.734161
   Digital Low Pass Filter,3 kHz Kaiser Window,00108.230320,B5,65,0.30928,7,9.285714,7.722218
   Digital High Pass Filter,200 Hz IIR,00118.844960,D2,142,1.9196,6,23.666667,20.072092
   Temperature Set Point,37.0 Degrees C,00123.273120,C1,68,0.19392,8,8.5,5.267827
   Current Temperature,37.0 Degrees C,00153.079040,B5,382,1.5796,10,38.2,48.375202
   Heater Power,On,00156.249120,B5,73,0.47312,9,8.111111,9.836943
   Barcode Plate Type,TwentyFourWellCircuit,00171.995520,C1,78,0.25304,8,9.75,5.73912
   Plate Serial Number,66-1901,00172.502000,B5,97,0.48328,8,12.125,12.623762
   CO2 Conc. Set Point,5.0 %,00193.479600,B5,183,1.55872,10,18.3,28.848049
   Actual CO2 Conc.,4.6 %,00203.346720,B3,115,1.23752,6,19.166667,25.996262
   Gas Mixer Status,Regulating,00231.843520,B5,51,0.31,8,6.375,5.360445
   AxIS Version,3.0.3.2,00235.525440,B1,156,1.25272,11,14.181818,23.862555
   Maestro Edge Firmware,3.0.3.2,00238.901440,B5,50,0.37856,8,6.25,6.036348
   Maestro Edge BioCore Version,4B,00253.360880,B5,62,0.26488,8,7.75,7.224092
,,00255.812640,C1,86,0.22568,7,12.285714,5.469769
AxIS Batch Process,,00273.200880,C3,248,1.27248,8,31,28.552584
   AxIS Version,3.0.3.2,00274.623040,B4,66,0.724,6,11,10.92398
   File Name,o.n experimet read 19.raw,00275.368960,B5,52,0.26848,8,6.5,5.17204
   Plate Type,BioCircuit MEA 24,00274.657280,C3,227,1.69912,7,32.428571,26.800091
   Requested File Section,0s to 10m0s,00290.071120,A1,97,2.34872,7,13.857143,14.156559
   Actual File Section Run,0s to 10m0s,00303.871200,B1,133,0.93936,10,13.3,16.571362
   Recording Offset from File Start,0s,00303.930160,B5,462,1.94232,10,46.2,59.946312
,,00312.724960,C1,71,0.49768,8,8.875,5.98827
Spike Detector Settings,,00314.036640,B5,72,0.45616,9,8,10.677078
   Method,Adaptive Threshold Crossing,00318.706400,B5,55,0.33424,8,6.875,9.130136
   Threshold,6,00320.171760,B1,131,1.13848,8,16.375,30.878542
   Threshold Status,Variable,00320.955520,B5,59,0.41024,8,7.375,8.410373
   Threshold Crossing Only,True,00322.781440,B5,55,0.35016,8,6.875,8.402939
   Pre-Spike Duration,0.84 ms,00323.769040,B5,61,0.44568,8,7.625,9.809912
   Post-Spike Duration,2.16 ms,00326.840480,B5,54,0.31744,7,7.714286,9.837454
   Coincident Event Filter,Default (Well),00373.553440,B5,563,2.73768,9,62.555556,83.736504
   Coincidence Occurrence Threshold,4 Electrodes,00382.577840,B5,74,0.3412,8,9.25,12.427288
   Coincidence Event Window,160 µs,00383.984320,B4,64,0.6968,8,8,9.137834
   Allow Sample Overlap,false,00392.281840,B1,124,0.60544,11,11.272727,17.347208
   Spike Count Interval,1 s,00400.360800,C1,62,0.18056,8,7.75,4.351724
,,00405.685360,B5,153,0.876,8,19.125,24.348703
Burst Detector Settings,,00408.192720,A1,79,1.0584,6,13.166667,11.553018
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00415.272480,B1,116,0.75968,9,12.888889,15.84259
   Maximum Inter-Spike Interval,100 ms,00428.529040,C3,228,1.03568,7,32.571429,25.583796
   Minimum Number of Spikes,5,00441.480480,B5,57,0.31584,6,9.5,7.78353
   Enable Network Burst Detection,True,00445.880320,C3,58,0.20448,7,8.285714,6.157789
