Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00012.314720,B6,115,1.5948,9,12.777778,13.56284
Description,after infection overnight,00018.595280,C1,74,0.21528,10,7.4,6.666334
,,00020.946960,C3,75,0.50944,7,10.714286,6.540299
Maestro Edge Settings,,00025.794960,C1,145,0.49256,12,12.083333,12.141241
   Original File Time,08/25/2020 19:32:59,00027.634240,C1,55,0.40544,7,7.857143,9.109313
   Sampling Frequency,12.5 kHz,00038.530480,A3,71,1.07408,8,8.875,16.833282
   Voltage Scale,-5.48486178148311E-08 V/sample,00043.879520,B5,52,0.21376,9,5.777778,4.391349
   Experiment Start Time,08/25/2020 15:32:43,00047.612320,D3,58,0.632,8,7.25,6.495191
   Referencing Method,Median,00048.971600,B1,78,0.2072,9,8.666667,10.583005
   Analog Mode Setting,Neural Spikes,00048.923920,D4,96,0.33048,11,8.727273,9.798802
   Plate Type,BioCircuit MEA 24,00049.117840,B3,59,0.69824,6,9.833333,7.470312
   Digital Low Pass Filter,3 kHz Kaiser Window,00049.619840,C2,100,0.29984,9,11.111111,6.208318
   Digital High Pass Filter,200 Hz IIR,00079.327200,C1,57,0.16704,9,6.333333,5.656854
   Temperature Set Point,37.0 Degrees C,00101.911920,D5,162,0.9956,10,16.2,14.048488
   Current Temperature,37.0 Degrees C,00103.011600,D5,60,0.77824,8,7.5,6.22495
   Heater Power,On,00102.395040,B1,170,1.58504,12,14.166667,26.140114
   Barcode Plate Type,TwentyFourWellCircuit,00104.314800,A3,65,1.05688,7,9.285714,16.662313
   Plate Serial Number,66-1901,00108.686400,D5,57,0.18984,7,8.142857,4.050699
   CO2 Conc. Set Point,5.0 %,00111.197600,B3,73,0.70928,7,10.428571,11.549361
   Actual CO2 Conc.,5.0 %,00114.627760,D5,54,0.18592,8,6.75,5.562149
   Gas Mixer Status,Regulating,00115.590960,B5,51,0.2752,11,4.636364,3.983437
   AxIS Version,3.0.3.2,00115.654000,B1,74,0.30352,9,8.222222,10.643494
   Maestro Edge Firmware,3.0.3.2,00136.504960,B4,73,0.45688,8,9.125,9.700998
   Maestro Edge BioCore Version,4B,00139.358080,D4,109,1.03816,8,13.625,16.461603
,,00148.968640,C3,191,1.6576,7,27.285714,16.420494
AxIS Batch Process,,00152.005280,B5,53,0.23864,9,5.888889,4.605418
   AxIS Version,3.0.3.2,00153.010080,C2,98,0.26696,8,12.25,7.206768
   File Name,o.n experimet read 2.raw,00153.782160,A2,56,0.61072,10,5.6,8.2
   Plate Type,BioCircuit MEA 24,00154.109440,B5,56,0.30064,10,5.6,4.820788
   Requested File Section,0s to 10m0s,00159.207200,B6,130,1.50456,8,16.25,15.400893
   Actual File Section Run,0s to 10m0s,00168.039120,C3,62,0.29592,6,10.333333,5.18545
   Recording Offset from File Start,0s,00169.908800,C1,66,0.26832,9,7.333333,6.616477
,,00169.038480,C3,345,2.1748,7,49.285714,29.869785
Spike Detector Settings,,00171.436080,D5,110,0.86488,10,11,9.370166
   Method,Adaptive Threshold Crossing,00176.509840,C1,72,0.32704,8,9,6.082763
   Threshold,6,00176.599440,D3,51,0.4148,9,5.666667,4.921608
   Threshold Status,Variable,00177.961680,B1,52,0.34424,8,6.5,10.222524
   Threshold Crossing Only,True,00184.571520,B1,131,1.08568,10,13.1,18.833216
   Pre-Spike Duration,0.84 ms,00198.468960,D5,61,0.33912,11,5.545455,4.849811
   Post-Spike Duration,2.16 ms,00201.075520,C3,64,0.30888,6,10.666667,5.436502
   Coincident Event Filter,Default (Well),00209.452560,B4,58,0.3092,6,9.666667,9.410396
   Coincidence Occurrence Threshold,4 Electrodes,00216.086560,C2,92,0.42152,9,10.222222,7.670691
   Coincidence Event Window,160 µs,00221.750720,D4,94,1.07664,10,9.4,13.395521
   Allow Sample Overlap,false,00228.276240,D1,50,0.74456,7,7.142857,6.620932
   Spike Count Interval,1 s,00232.312160,B5,75,0.25056,10,7.5,6.931811
,,00232.328720,B3,52,0.40968,6,8.666667,7.520343
Burst Detector Settings,,00233.893120,A3,77,0.87408,8,9.625,12.2366
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00234.603840,B5,460,1.81224,12,38.333333,61.583729
   Maximum Inter-Spike Interval,100 ms,00240.860720,B1,111,0.80624,12,9.25,14.306904
   Minimum Number of Spikes,5,00254.685760,B6,58,1.31888,8,7.25,8.027297
   Enable Network Burst Detection,True,00256.280000,C1,159,0.51152,11,14.454545,14.08651
   Maximum Inter-Spike Interval (network bursts),100 ms,00261.741600,A2,53,0.42432,10,5.3,5.622277
   Minimum Number of Spikes (network bursts),50,00275.711200,B1,54,0.23088,9,6,8.894443
   Minimum Participating Electrodes (%),35,00277.801920,D5,159,0.64504,9,17.666667,12.119773
   Synchrony Window,20 ms,00279.911600,D5,63,0.47072,7,9,6.369571
,,00283.727440,B1,122,0.88352,10,12.2,22.008181
,,00286.664480,D5,56,0.3956,8,7,4.358899
,,00287.746880,D5,50,0.21768,7,7.142857,4.642308
,,00288.528880,C3,76,0.17704,7,10.857143,7.039248
,,00287.932800,D4,84,1.22088,10,8.4,11.05622
,,00295.431120,B3,62,0.66544,7,8.857143,8.184106
,,00297.442400,B5,50,0.24128,9,5.555556,3.947182
,,00299.036400,D5,56,0.37232,7,8,4.598136
,,00300.305120,D5,53,0.44952,6,8.833333,2.967416
,,00306.930880,D5,83,0.30056,9,9.222222,8.243217
,,00307.705360,B1,54,0.3064,7,7.714286,12.735936
,,00314.601360,C3,77,0.52808,6,12.833333,6.175669
,,00315.854480,C3,337,2.13392,6,56.166667,20.923803
,,00316.811200,B2,65,1.46152,6,10.833333,6.56802
,,00322.113200,B1,92,0.47192,10,9.2,12.95222
,,00340.257280,B3,58,0.6988,6,9.666667,6.674995
,,00341.104320,D4,58,0.34072,6,9.666667,7.781745
,,00351.915760,B1,82,0.5208,8,10.25,15.360257
,,00362.448640,C1,128,0.29544,10,12.8,12.820296
,,00363.627600,B5,64,0.2328,12,5.333333,5.587685
,,00365.610800,B6,56,1.02496,8,7,7.228416
,,00369.257200,B5,52,0.3556,8,6.5,5.5
,,00371.197520,C1,156,0.53744,12,13,14.136242
,,00374.180160,D4,64,0.23592,7,9.142857,7.917946
,,00397.084320,D4,57,0.32168,8,7.125,6.431126
,,00398.544960,A3,81,0.64432,9,9,13.258121
,,00400.463920,B1,118,0.964,13,9.076923,13.702676
,,00401.475200,D5,145,0.47616,10,14.5,11.783463
,,00402.378960,D5,77,0.87672,9,8.555556,8.056896
,,00416.485920,B5,443,1.92096,11,40.272727,57.72047
,,00426.295200,C3,67,0.5644,7,9.571429,8.243736
,,00432.358000,B5,53,0.318,10,5.3,5.933802
,,00434.823600,C2,94,0.1872,10,9.4,5.444263
,,00440.726640,C3,84,0.2688,6,14,7.141428
,,00441.713040,C3,265,1.38784,7,37.857143,25.340136
,,00444.920880,B1,55,0.178,10,5.5,7.671375
,,00446.794800,B3,76,1.27032,6,12.666667,15.238839
,,00466.034320,B6,82,1.31176,8,10.25,9.781999
,,00474.126560,D5,111,0.74272,10,11.1,9.04931
,,00474.970160,D5,127,1.2648,10,12.7,12.586103
,,00477.486240,C1,68,0.33208,9,7.555556,6.584681
,,00486.251040,B4,57,0.18592,8,7.125,7.704504
,,00485.497840,B5,470,1.86232,10,47,59.072838
,,00503.987040,D5,64,0.61768,7,9.142857,4.223356
,,00506.108800,C3,87,0.27008,6,14.5,5.909033
,,00506.836480,C3,275,2.06632,6,45.833333,20.003471
,,00511.683360,C1,156,0.40384,13,12,12.415871
,,00514.071440,A2,68,0.77696,9,7.555556,11.615231
,,00533.623760,A3,77,0.77152,10,7.7,10.498095
,,00534.474880,B5,193,0.80576,11,17.545455,21.487263
,,00536.280560,B5,98,0.5468,8,12.25,12.275484
,,00543.172160,D5,95,0.55032,9,10.555556,5.18783
,,00543.841280,D5,55,0.98576,6,9.166667,7.174415
,,00545.136080,B1,57,0.24112,6,9.5,11.926861
,,00556.830640,D4,95,0.46472,9,10.555556,13.873324
,,00559.022960,B6,136,1.85872,7,19.428571,15.277034
,,00561.267920,B6,73,1.5452,6,12.166667,10.853827
,,00567.570080,B5,200,0.87624,11,18.181818,20.840599
,,00569.618560,C2,76,0.29224,9,8.444444,5.599823
,,00569.614560,B1,131,0.61112,11,11.909091,19.768913
,,00573.406400,D5,70,0.54992,7,10,7.010197
,,00595.372880,A3,57,0.7416,6,9.5,13.438129

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
