Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00002.333520,B3,132,1.454,7,18.857143,26.989038
Description,after infection overnight,00007.596640,B5,492,2.13752,11,44.727273,56.681072
,,00011.145920,B4,61,0.4128,6,10.166667,7.266743
Maestro Edge Settings,,00018.677200,D4,100,0.30336,10,10,11.135529
   Original File Time,08/25/2020 21:32:59,00019.396400,D4,84,1.50912,8,10.5,15.491934
   Sampling Frequency,12.5 kHz,00023.334480,A3,75,1.07144,9,8.333333,14.98147
   Voltage Scale,-5.48486178148311E-08 V/sample,00034.049920,D5,88,0.67096,11,8,6.149649
   Experiment Start Time,08/25/2020 15:32:43,00035.059200,C1,51,0.2824,9,5.666667,4.760952
   Referencing Method,Median,00035.595760,D5,58,0.28928,8,7.25,4.548351
   Analog Mode Setting,Neural Spikes,00038.290240,C1,136,0.40648,12,11.333333,12.472192
   Plate Type,BioCircuit MEA 24,00044.464720,B1,136,0.59856,13,10.461538,15.036445
   Digital Low Pass Filter,3 kHz Kaiser Window,00055.097840,C2,85,0.24328,9,9.444444,6.344046
   Digital High Pass Filter,200 Hz IIR,00058.442240,D5,76,0.55864,8,9.5,6.538348
   Temperature Set Point,37.0 Degrees C,00057.968560,B6,79,1.3172,9,8.777778,9.795439
   Current Temperature,37.0 Degrees C,00063.492720,C3,239,1.2992,8,29.875,22.657434
   Heater Power,On,00074.012000,B1,107,0.85488,10,10.7,14.050266
   Barcode Plate Type,TwentyFourWellCircuit,00078.491360,B4,69,0.35192,6,11.5,13.07351
   Plate Serial Number,66-1901,00090.113200,C3,64,0.18776,6,10.666667,5.153208
   CO2 Conc. Set Point,5.0 %,00100.340800,A3,74,1.05208,9,8.222222,16.611761
   Actual CO2 Conc.,5.0 %,00100.213120,B1,106,0.99976,9,11.777778,19.314806
   Gas Mixer Status,Regulating,00099.724160,B5,289,1.48664,11,26.272727,35.749355
   AxIS Version,3.0.3.2,00104.664800,C2,73,0.28312,8,9.125,6.431126
   Maestro Edge Firmware,3.0.3.2,00120.423840,D5,191,1.19968,10,19.1,15.208221
   Maestro Edge BioCore Version,4B,00123.700960,A3,57,0.96896,6,9.5,13.793115
,,00127.930640,D5,53,0.22688,8,6.625,4.299346
AxIS Batch Process,,00129.603920,B5,212,1.32528,10,21.2,22.198198
   AxIS Version,3.0.3.2,00133.711440,A2,65,0.45712,10,6.5,8.369588
   File Name,o.n experimet read 3.raw,00136.884880,C1,81,0.36112,8,10.125,6.771955
   Plate Type,BioCircuit MEA 24,00140.497200,B1,113,0.89152,13,8.692308,13.309249
   Requested File Section,0s to 10m0s,00147.249840,B3,140,1.59848,7,20,27.609522
   Actual File Section Run,0s to 10m0s,00153.211440,C3,128,0.46,6,21.333333,8.956686
   Recording Offset from File Start,0s,00154.125440,C3,240,1.40536,6,40,24.034697
,,00155.646560,C3,105,0.78416,7,15,13.309503
Spike Detector Settings,,00158.298560,D4,91,0.28288,8,11.375,11.999349
   Method,Adaptive Threshold Crossing,00159.808880,D4,65,0.61152,7,9.285714,9.238341
   Threshold,6,00169.498320,A3,64,0.8656,6,10.666667,18.061623
   Threshold Status,Variable,00170.631440,D5,116,1.12176,11,10.545455,10.560334
   Threshold Crossing Only,True,00170.532640,B6,109,1.504,8,13.625,13.066537
