Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00003.310480,B6,101,1.81744,9,11.222222,14.249973
Description,after infection overnight,00006.395200,B6,96,1.20216,8,12,9.669539
,,00017.851600,C3,50,0.15072,7,7.142857,5.054802
Maestro Edge Settings,,00021.985120,A2,89,1.42744,7,12.714286,26.277172
   Original File Time,08/26/2020 15:32:59,00034.387120,C1,53,0.1896,8,6.625,4.973367
   Sampling Frequency,12.5 kHz,00044.990800,B3,111,0.9692,6,18.5,17.036724
   Voltage Scale,-5.48486178148311E-08 V/sample,00045.444320,B5,179,0.784,9,19.888889,21.971924
   Experiment Start Time,08/25/2020 15:32:43,00057.133760,B5,66,0.43232,6,11,11.930353
   Referencing Method,Median,00062.282000,A1,93,1.5164,8,11.625,13.406505
   Analog Mode Setting,Neural Spikes,00064.596560,D2,106,1.2536,6,17.666667,15.205993
   Plate Type,BioCircuit MEA 24,00069.409920,B5,56,0.19968,10,5.6,5.919459
   Digital Low Pass Filter,3 kHz Kaiser Window,00073.126160,B1,203,1.72504,10,20.3,34.164455
   Digital High Pass Filter,200 Hz IIR,00075.304080,C1,125,0.3272,9,13.888889,9.573627
   Temperature Set Point,37.0 Degrees C,00075.377120,B5,106,0.42344,10,10.6,9.951884
   Current Temperature,37.0 Degrees C,00085.376400,B5,68,0.24752,8,8.5,8.845903
   Heater Power,On,00104.098880,B1,57,0.30696,6,9.5,11.543396
   Barcode Plate Type,TwentyFourWellCircuit,00105.207360,B4,54,0.48648,6,9,6.377042
   Plate Serial Number,66-1901,00108.250080,C3,345,2.32064,9,38.333333,35.001587
   CO2 Conc. Set Point,5.0 %,00110.325680,A3,55,1.10384,7,7.857143,13.55864
   Actual CO2 Conc.,5.0 %,00113.504960,B1,97,0.51408,11,8.818182,12.305344
   Gas Mixer Status,Regulating,00114.209680,C1,90,0.36376,8,11.25,7.495832
   AxIS Version,3.0.3.2,00122.082480,B5,73,0.38672,9,8.111111,8.211705
   Maestro Edge Firmware,3.0.3.2,00123.172560,D5,91,0.27184,7,13,10.127755
   Maestro Edge BioCore Version,4B,00123.844720,B6,88,1.72912,9,9.777778,12.317807
,,00126.661600,D5,74,0.2936,7,10.571429,6.207303
AxIS Batch Process,,00126.653040,B2,52,0.9028,6,8.666667,4.26875
   AxIS Version,3.0.3.2,00130.057920,B5,198,1.62328,10,19.8,20.908371
   File Name,o.n experimet read 12.raw,00137.546000,B5,55,0.34656,9,6.111111,6.657401
   Plate Type,BioCircuit MEA 24,00151.108080,A2,77,0.57984,7,11,17.312258
   Requested File Section,0s to 10m0s,00190.035920,B5,51,0.17784,9,5.666667,5.981453
   Actual File Section Run,0s to 10m0s,00200.531360,D3,54,0.79736,8,6.75,9.270248
   Recording Offset from File Start,0s,00204.845600,D5,51,0.23504,7,7.285714,5.945329
,,00212.022480,C3,86,0.30176,8,10.75,7.741931
Spike Detector Settings,,00212.396640,D5,114,0.44784,6,19,11.647603
   Method,Adaptive Threshold Crossing,00213.112320,C3,72,1.13896,7,10.285714,9.315337
   Threshold,6,00235.410480,B5,74,0.25624,9,8.222222,8.390177
   Threshold Status,Variable,00239.104480,D5,126,0.88544,8,15.75,14.506464
   Threshold Crossing Only,True,00254.939680,B5,54,0.30704,8,6.75,8.287792
