Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00009.380240,C3,239,1.19424,6,39.833333,15.720652
Description,after infection overnight,00010.707600,C3,137,0.9776,7,19.571429,15.536658
,,00027.339520,A1,63,0.76144,6,10.5,10.750969
Maestro Edge Settings,,00036.690960,B4,56,0.53304,6,9.333333,8.339997
   Original File Time,08/26/2020 09:32:59,00041.602320,C1,90,0.31816,10,9,8.438009
   Sampling Frequency,12.5 kHz,00046.398480,C2,57,0.21456,8,7.125,7.043392
   Voltage Scale,-5.48486178148311E-08 V/sample,00047.091840,B1,162,1.21624,10,16.2,23.404274
   Experiment Start Time,08/25/2020 15:32:43,00048.869920,B3,53,0.80544,7,7.571429,7.575471
   Referencing Method,Median,00055.479520,D5,152,0.28136,12,12.666667,12.31079
   Analog Mode Setting,Neural Spikes,00057.564720,B6,69,0.83936,7,9.857143,7.139999
   Plate Type,BioCircuit MEA 24,00058.402960,A2,81,0.9708,7,11.571429,16.986189
   Digital Low Pass Filter,3 kHz Kaiser Window,00060.226080,B6,52,0.8436,7,7.428571,6.114552
   Digital High Pass Filter,200 Hz IIR,00064.750720,D5,67,0.16928,7,9.571429,6.608591
   Temperature Set Point,37.0 Degrees C,00070.530640,B4,58,0.16208,9,6.444444,5.559998
   Current Temperature,37.0 Degrees C,00075.998240,B1,129,0.90824,9,14.333333,16.772995
   Heater Power,On,00081.805680,C3,240,1.0144,8,30,22.444376
   Barcode Plate Type,TwentyFourWellCircuit,00083.049120,C3,106,1.04808,7,15.142857,11.255837
   Plate Serial Number,66-1901,00095.664160,B1,102,0.86496,8,12.75,22.145824
   CO2 Conc. Set Point,5.0 %,00179.460560,B5,56,0.24776,10,5.6,5.730619
   Actual CO2 Conc.,5.2 %,00180.545200,B3,103,0.53848,6,17.166667,19.961769
   Gas Mixer Status,Regulating,00181.788000,A3,80,1.0564,9,8.888889,17.071383
   AxIS Version,3.0.3.2,00183.558800,A2,70,0.72056,6,11.666667,18.135294
   Maestro Edge Firmware,3.0.3.2,00184.850400,B5,55,0.23544,9,6.111111,7.014975
   Maestro Edge BioCore Version,4B,00187.431680,C3,318,1.76216,7,45.428571,29.286062
,,00196.845280,B4,53,0.34224,6,8.833333,7.882823
AxIS Batch Process,,00199.489040,C2,52,0.18808,8,6.5,8
