Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00009.374960,B5,79,0.29808,10,7.9,8.722959
Description,after infection overnight,00030.336080,B5,84,0.25832,10,8.4,8.2
,,00035.156160,B5,52,0.27032,9,5.777778,6.051221
Maestro Edge Settings,,00045.869760,C1,71,0.70608,8,8.875,6.527586
   Original File Time,08/27/2020 01:32:59,00056.842480,B1,57,0.2696,6,9.5,11.715375
   Sampling Frequency,12.5 kHz,00059.992160,B5,56,0.25288,8,7,6.164414
   Voltage Scale,-5.48486178148311E-08 V/sample,00064.785600,B5,365,1.69512,10,36.5,43.29723
   Experiment Start Time,08/25/2020 15:32:43,00068.026160,B3,108,1.15608,6,18,22.992752
   Referencing Method,Median,00070.433760,B1,55,0.24472,7,7.857143,10.466662
   Analog Mode Setting,Neural Spikes,00070.031600,C3,172,1.4984,7,24.571429,15.646607
   Plate Type,BioCircuit MEA 24,00073.146480,C3,117,0.25448,7,16.714286,11.900951
   Digital Low Pass Filter,3 kHz Kaiser Window,00077.196240,D2,118,1.85048,7,16.857143,15.985963
   Digital High Pass Filter,200 Hz IIR,00111.832560,B5,67,0.29112,9,7.444444,7.514595
   Temperature Set Point,37.0 Degrees C,00125.863920,B5,66,0.2676,9,7.333333,7.972174
   Current Temperature,37.0 Degrees C,00130.136800,B1,71,0.27136,8,8.875,10.373494
   Heater Power,On,00135.339920,B5,60,0.29072,9,6.666667,6.182413
   Barcode Plate Type,TwentyFourWellCircuit,00149.882320,D2,112,1.44328,6,18.666667,14.884743
   Plate Serial Number,66-1901,00157.937840,B5,390,1.64192,10,39,45.930382
   CO2 Conc. Set Point,5.0 %,00159.860160,B5,237,1.10624,9,26.333333,37.959042
   Actual CO2 Conc.,5.0 %,00162.598320,C1,89,0.24832,9,9.888889,7.694796
   Gas Mixer Status,Regulating,00169.159280,B1,56,0.286,7,8,10.875923
