Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00003.316640,B5,202,1.05056,10,20.2,23.228432
Description,after infection overnight,00004.981440,B5,90,0.36896,10,9,10.945318
,,00009.937920,B5,88,0.4044,9,9.777778,12.567841
Maestro Edge Settings,,00013.232400,D2,98,0.98296,7,14,12.806249
   Original File Time,08/26/2020 19:32:59,00019.306640,D5,101,0.45456,6,16.833333,10.478815
   Sampling Frequency,12.5 kHz,00025.135520,B4,50,0.55312,8,6.25,6.722165
   Voltage Scale,-5.48486178148311E-08 V/sample,00032.674240,A2,78,0.81272,8,9.75,18.410255
   Experiment Start Time,08/25/2020 15:32:43,00047.309360,C1,95,0.34144,9,10.555556,8.111872
   Referencing Method,Median,00055.339840,B6,65,1.226,6,10.833333,8.571594
   Analog Mode Setting,Neural Spikes,00059.768240,B5,54,0.2112,9,6,5.142416
   Plate Type,BioCircuit MEA 24,00077.786720,C1,60,0.17288,7,8.571429,5.473498
   Digital Low Pass Filter,3 kHz Kaiser Window,00079.217360,A2,53,0.7712,7,7.571429,11.337134
   Digital High Pass Filter,200 Hz IIR,00078.912880,B5,441,2.1584,10,44.1,56.692944
   Temperature Set Point,37.0 Degrees C,00094.323920,B5,55,0.23864,8,6.875,6.863627
   Current Temperature,37.0 Degrees C,00095.865040,C1,55,0.23912,8,6.875,4.044672
   Heater Power,On,00117.684080,D5,109,0.43872,6,18.166667,11.936172
   Barcode Plate Type,TwentyFourWellCircuit,00126.499040,D2,116,1.37784,6,19.333333,17.094509
   Plate Serial Number,66-1901,00139.149680,B5,51,0.20864,8,6.375,5.977824
   CO2 Conc. Set Point,5.0 %,00146.195520,B5,58,0.30664,8,7.25,6.514407
   Actual CO2 Conc.,5.0 %,00146.165920,A1,54,0.81144,6,9,9.183318
   Gas Mixer Status,Regulating,00162.320080,C3,452,2.62776,9,50.222222,45.545528
   AxIS Version,3.0.3.2,00172.688560,B4,54,0.0828,8,6.75,4.918079
   Maestro Edge Firmware,3.0.3.2,00187.420720,B5,53,0.26288,8,6.625,6.4214
   Maestro Edge BioCore Version,4B,00193.851680,B3,94,0.94744,6,15.666667,15.56349
,,00217.711040,B5,367,1.94512,10,36.7,42.769264
AxIS Batch Process,,00237.998800,D5,98,0.44888,7,14,10.609968
   AxIS Version,3.0.3.2,00240.574800,B5,59,0.16272,9,6.555556,6.326507
   File Name,o.n experimet read 14.raw,00243.936320,A2,80,1.23744,7,11.428571,20.006121
   Plate Type,BioCircuit MEA 24,00252.017520,B5,107,0.78736,10,10.7,14.553694
   Requested File Section,0s to 10m0s,00252.565120,C3,199,1.77392,9,22.111111,18.864691
   Actual File Section Run,0s to 10m0s,00268.763840,B5,54,0.1916,9,6,5.456902
   Recording Offset from File Start,0s,00275.236400,C1,113,0.14152,11,10.272727,7.136219
,,00276.876080,C3,79,0.17768,7,11.285714,6.111214
Spike Detector Settings,,00288.950160,B5,54,0.20496,7,7.714286,5.006119
   Method,Adaptive Threshold Crossing,00296.479440,B5,58,0.14328,8,7.25,6.514407
   Threshold,6,00299.773120,C1,63,0.17944,8,7.875,4.985918
   Threshold Status,Variable,00302.977280,B3,60,0.53504,7,8.571429,8.893932
   Threshold Crossing Only,True,00321.629120,B5,64,0.25736,8,8,8.246211
   Pre-Spike Duration,0.84 ms,00330.721360,D3,51,1.02776,8,6.375,9.472823
   Post-Spike Duration,2.16 ms,00331.564720,B1,193,2.08664,9,21.444444,33.330372
   Coincident Event Filter,Default (Well),00333.482640,C1,81,0.1848,9,9,6.531973
   Coincidence Occurrence Threshold,4 Electrodes,00344.302880,B5,52,0.25096,7,7.428571,6.207303
   Coincidence Event Window,160 µs,00348.200240,A1,101,1.88048,6,16.833333,18.142185
   Allow Sample Overlap,false,00350.482240,B5,413,2.00976,10,41.3,52.080803
   Spike Count Interval,1 s,00352.354160,D5,82,0.2164,7,11.714286,9.391703
,,00353.537280,B5,54,0.67616,6,9,13.94035
Burst Detector Settings,,00354.490560,B6,87,1.87416,8,10.875,11.910473
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00356.674800,B6,77,0.82752,7,11,5.126959
   Maximum Inter-Spike Interval,100 ms,00358.939440,B5,74,0.58544,10,7.4,11.262326
   Minimum Number of Spikes,5,00362.181520,B5,51,0.21776,7,7.285714,8.663789
   Enable Network Burst Detection,True,00383.201840,B5,50,0.36648,8,6.25,5.379359
   Maximum Inter-Spike Interval (network bursts),100 ms,00383.304080,C1,92,0.2884,9,10.222222,7.435318
   Minimum Number of Spikes (network bursts),50,00396.463040,B1,162,1.12424,10,16.2,20.730654
   Minimum Participating Electrodes (%),35,00406.463920,D5,66,0.3208,6,11,8.445907
   Synchrony Window,20 ms,00421.554160,B1,131,0.916,10,13.1,17.067221
