Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.227680,B5,71,0.22104,9,7.888889,7.430335
Description,after infection overnight,00013.573280,B5,56,0.20104,7,8,6.88684
,,00021.041040,B3,95,1.04736,6,15.833333,17.957512
Maestro Edge Settings,,00028.145760,B6,89,1.25072,7,12.714286,12.532407
   Original File Time,08/27/2020 09:32:59,00045.952480,B1,128,0.61656,12,10.666667,17.674526
   Sampling Frequency,12.5 kHz,00069.510880,D2,100,1.92168,6,16.666667,13.585122
   Voltage Scale,-5.48486178148311E-08 V/sample,00074.440560,B1,108,0.7844,9,12,19.218046
   Experiment Start Time,08/25/2020 15:32:43,00079.077360,B5,57,0.19096,10,5.7,6.527633
   Referencing Method,Median,00079.008560,C1,95,0.35256,9,10.555556,7.529366
   Analog Mode Setting,Neural Spikes,00080.861680,B5,65,0.22384,9,7.222222,7.699607
   Plate Type,BioCircuit MEA 24,00089.627360,B5,52,0.27288,7,7.428571,7.228063
   Digital Low Pass Filter,3 kHz Kaiser Window,00123.295360,A1,106,1.96328,8,13.25,16.169029
   Digital High Pass Filter,200 Hz IIR,00133.293520,D2,112,1.17848,7,16,15.399444
   Temperature Set Point,37.0 Degrees C,00135.183440,B5,59,0.24784,7,8.428571,7.90763
   Current Temperature,37.0 Degrees C,00137.553280,B5,53,0.2352,7,7.571429,6.433332
   Heater Power,On,00143.591280,B5,492,2.08056,9,54.666667,69.594063
   Barcode Plate Type,TwentyFourWellCircuit,00146.065920,B5,171,0.87496,7,24.428571,35.536125
   Plate Serial Number,66-1901,00147.355760,B5,58,0.38472,6,9.666667,11.160446
   CO2 Conc. Set Point,5.0 %,00154.030640,B5,51,0.3328,9,5.666667,9.273619
   Actual CO2 Conc.,5.1 %,00156.898000,B5,67,0.352,9,7.444444,11.14661
   Gas Mixer Status,Regulating,00158.650240,B5,50,0.32264,8,6.25,8.785642
   AxIS Version,3.0.3.2,00161.330640,B5,64,0.37864,8,8,9.733961
   Maestro Edge Firmware,3.0.3.2,00180.108240,B5,108,0.37464,8,13.5,13.228757
   Maestro Edge BioCore Version,4B,00186.199920,B1,137,1.12672,8,17.125,32.122566
,,00188.214000,C3,83,0.21816,7,11.857143,9.046366
AxIS Batch Process,,00188.794400,C3,192,0.87456,7,27.428571,23.249313
   AxIS Version,3.0.3.2,00189.845200,C3,177,1.15184,6,29.5,21.975365
   File Name,o.n experimet read 21.raw,00191.343680,B3,160,1.15888,6,26.666667,35.37262
   Plate Type,BioCircuit MEA 24,00212.581440,B5,234,1.216,10,23.4,34.673332
   Requested File Section,0s to 10m0s,00214.292800,C1,84,0.17192,7,12,6.094494
   Actual File Section Run,0s to 10m0s,00235.764720,B5,143,0.68192,9,15.888889,21.314806
   Recording Offset from File Start,0s,00277.180480,B1,132,0.90464,9,14.666667,21.822515
,,00281.108960,B3,64,0.57472,6,10.666667,15.434449
Spike Detector Settings,,00296.394880,A1,50,0.90552,6,8.333333,6.724747
   Method,Adaptive Threshold Crossing,00301.391200,B1,123,0.80136,10,12.3,19.147062
   Threshold,6,00303.346160,B5,329,1.32648,9,36.555556,45.32135
   Threshold Status,Variable,00305.093920,B5,183,0.96304,8,22.875,27.62896
   Threshold Crossing Only,True,00307.055920,B5,156,0.84208,8,19.5,26.186829
   Pre-Spike Duration,0.84 ms,00307.656400,D2,145,1.34512,6,24.166667,19.794079
   Post-Spike Duration,2.16 ms,00313.632080,B5,57,0.36024,10,5.7,8.379141
   Coincident Event Filter,Default (Well),00317.515040,C3,72,0.8928,6,12,10.770329
   Coincidence Occurrence Threshold,4 Electrodes,00319.125760,B5,53,0.25728,9,5.888889,8.633841
   Coincidence Event Window,160 µs,00342.308800,B1,129,0.98552,11,11.727273,18.572174
   Allow Sample Overlap,false,00344.882640,C3,89,0.28568,7,12.714286,8.597579
   Spike Count Interval,1 s,00345.279360,C3,109,1.01112,6,18.166667,11.838027
