Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00009.089440,B6,57,1.20616,8,7.125,6.411659
Description,after infection overnight,00044.479920,B1,140,1.2484,10,14,20.119642
,,00048.076640,D5,117,0.54464,7,16.714286,10.415844
Maestro Edge Settings,,00057.580560,D5,52,0.17688,8,6.5,4.609772
   Original File Time,08/26/2020 07:32:59,00059.671600,B1,54,0.39008,6,9,10.939226
   Sampling Frequency,12.5 kHz,00067.608560,B5,73,0.38184,9,8.111111,8.089011
   Voltage Scale,-5.48486178148311E-08 V/sample,00084.608880,B1,54,0.14272,7,7.714286,10.194036
   Experiment Start Time,08/25/2020 15:32:43,00091.602960,B5,100,0.45976,9,11.111111,12.661793
   Referencing Method,Median,00113.982480,A3,64,0.86304,9,7.111111,13.543711
   Analog Mode Setting,Neural Spikes,00115.651120,C1,88,0.49664,9,9.777778,7.941142
   Plate Type,BioCircuit MEA 24,00116.606560,D5,101,0.40232,8,12.625,10.073945
   Digital Low Pass Filter,3 kHz Kaiser Window,00119.534560,B5,361,1.38032,10,36.1,48.229557
   Digital High Pass Filter,200 Hz IIR,00120.452800,A2,85,0.86768,7,12.142857,21.629534
   Temperature Set Point,37.0 Degrees C,00121.680000,B5,114,0.39648,9,12.666667,17.384539
   Current Temperature,37.0 Degrees C,00122.889040,C1,53,0.15392,8,6.625,7.069963
   Heater Power,On,00132.033040,B1,146,0.51608,12,12.166667,17.714558
   Barcode Plate Type,TwentyFourWellCircuit,00135.826480,C1,134,0.39888,10,13.4,11.766053
   Plate Serial Number,66-1901,00160.351040,C3,107,0.3716,6,17.833333,10.006942
   CO2 Conc. Set Point,5.0 %,00160.869360,C3,249,1.50672,8,31.125,24.471603
   Actual CO2 Conc.,5.0 %,00164.340160,A2,50,0.68768,7,7.142857,10.999072
   Gas Mixer Status,Regulating,00172.574560,B3,76,0.88344,6,12.666667,14.60213
   AxIS Version,3.0.3.2,00195.978960,B2,73,1.0224,6,12.166667,5.335937
   Maestro Edge Firmware,3.0.3.2,00213.348240,C1,124,0.3828,11,11.272727,11.225708
   Maestro Edge BioCore Version,4B,00214.785920,B5,52,0.25648,8,6.5,7.399324
,,00217.432800,B5,283,0.97968,10,28.3,37.387295
AxIS Batch Process,,00218.589280,C2,73,0.2552,8,9.125,10.385537
   AxIS Version,3.0.3.2,00228.644800,C3,79,0.52424,6,13.166667,6.56802
   File Name,o.n experimet read 8.raw,00239.628640,C1,77,0.17728,10,7.7,6.928925
   Plate Type,BioCircuit MEA 24,00269.507920,B3,75,0.854,7,10.714286,12.220758
   Requested File Section,0s to 10m0s,00275.778720,D5,168,0.43784,10,16.8,15.011995
   Actual File Section Run,0s to 10m0s,00279.791440,B6,102,1.54824,8,12.75,13.76363
