Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00003.468160,B1,86,0.80648,9,9.555556,14.369034
Description,after infection overnight,00019.587520,B5,691,3.63928,10,69.1,98.722282
,,00030.469760,B5,55,0.30848,7,7.857143,9.934479
Maestro Edge Settings,,00042.026800,B1,123,0.79192,10,12.3,17.567299
   Original File Time,08/27/2020 07:32:59,00045.723600,C1,91,0.28584,8,11.375,4.897385
   Sampling Frequency,12.5 kHz,00065.224480,B1,122,0.99128,11,11.090909,17.696711
   Voltage Scale,-5.48486178148311E-08 V/sample,00067.599680,B5,89,0.39432,10,8.9,10.96768
   Experiment Start Time,08/25/2020 15:32:43,00091.242320,C3,96,0.46608,7,13.714286,9.191833
   Referencing Method,Median,00090.598960,D2,138,1.33288,6,23,16.891813
   Analog Mode Setting,Neural Spikes,00091.902400,C3,59,0.93392,6,9.833333,6.9622
   Plate Type,BioCircuit MEA 24,00093.173280,C3,370,2.07952,7,52.857143,41.783211
   Digital Low Pass Filter,3 kHz Kaiser Window,00102.624560,B1,103,0.64056,10,10.3,13.689777
   Digital High Pass Filter,200 Hz IIR,00103.136480,C1,76,0.20008,9,8.444444,5.77564
   Temperature Set Point,37.0 Degrees C,00119.154080,B5,53,0.34376,7,7.571429,6.298688
   Current Temperature,37.0 Degrees C,00130.118800,B5,50,0.18688,8,6.25,6.015604
   Heater Power,On,00143.954080,B5,69,0.36728,8,8.625,7.712611
   Barcode Plate Type,TwentyFourWellCircuit,00150.574800,B5,398,1.73592,10,39.8,52.216473
   Plate Serial Number,66-1901,00153.465360,B5,209,0.97648,7,29.857143,33.959759
   CO2 Conc. Set Point,5.0 %,00154.826560,B5,167,0.8128,9,18.555556,27.681164
   Actual CO2 Conc.,4.9 %,00161.940000,B5,56,0.35704,9,6.222222,8.508529
   Gas Mixer Status,Regulating,00162.867200,A1,72,1.23432,6,12,14.988885
   AxIS Version,3.0.3.2,00166.128080,B5,52,0.35464,8,6.5,9.137834
   Maestro Edge Firmware,3.0.3.2,00166.716560,C1,65,0.19088,8,8.125,4.648589
   Maestro Edge BioCore Version,4B,00169.850320,B5,57,0.32632,8,7.125,9.752403
,,00196.339920,B5,57,0.2984,9,6.333333,5.754225
AxIS Batch Process,,00197.516880,C3,320,2.1844,8,40,35.390678
   AxIS Version,3.0.3.2,00209.174480,C1,60,0.18944,9,6.666667,4.89898
   File Name,o.n experimet read 20.raw,00224.233840,B1,149,1.0884,10,14.9,22.474207
   Plate Type,BioCircuit MEA 24,00243.378960,A2,52,0.5372,8,6.5,10.571187
   Requested File Section,0s to 10m0s,00253.156080,D2,97,0.61416,7,13.857143,11.728214
   Actual File Section Run,0s to 10m0s,00253.005680,B5,425,1.81744,11,38.636364,53.414795
   Recording Offset from File Start,0s,00261.535360,B4,51,0.43512,7,7.285714,6.734014
,,00267.407920,B5,97,0.32384,10,9.7,12.474374
Spike Detector Settings,,00294.890240,B3,85,0.97192,6,14.166667,17.544388
   Method,Adaptive Threshold Crossing,00297.357920,B1,136,1.05368,8,17,30.850445
   Threshold,6,00299.735440,D2,103,0.93328,6,17.166667,12.548794
   Threshold Status,Variable,00301.576560,C1,56,0.19712,9,6.222222,4.07643
   Threshold Crossing Only,True,00310.036080,C1,87,0.22312,10,8.7,6.229767
   Pre-Spike Duration,0.84 ms,00349.397040,C3,107,0.78008,7,15.285714,9.160697
   Post-Spike Duration,2.16 ms,00353.048640,C3,417,1.76344,8,52.125,48.206425
   Coincident Event Filter,Default (Well),00360.862560,B5,57,0.47368,7,8.142857,6.490181
   Coincidence Occurrence Threshold,4 Electrodes,00372.017600,B5,50,0.3048,9,5.555556,5.717636
   Coincidence Event Window,160 µs,00373.563760,B5,68,0.25504,9,7.555556,8.407815
   Allow Sample Overlap,false,00375.813120,A2,53,0.87912,7,7.571429,13.340134
   Spike Count Interval,1 s,00378.641920,B4,54,0.51968,8,6.75,6.959705
,,00380.513120,B5,64,0.2816,9,7.111111,7.279262
Burst Detector Settings,,00386.048800,D2,127,0.94224,6,21.166667,13.508228
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00392.831440,B5,455,1.90056,9,50.555556,59.082073
   Maximum Inter-Spike Interval,100 ms,00395.298800,B5,91,0.5908,7,13,13.638182
   Minimum Number of Spikes,5,00397.475520,B5,192,0.90376,9,21.333333,30.89768
   Enable Network Burst Detection,True,00403.294720,B5,64,0.32632,8,8,11.565034
   Maximum Inter-Spike Interval (network bursts),100 ms,00405.723760,B5,50,0.33072,7,7.142857,9.876792
   Minimum Number of Spikes (network bursts),50,00407.032960,B5,65,0.3172,9,7.222222,9.519311
   Minimum Participating Electrodes (%),35,00412.701520,B5,56,0.38912,7,8,9.75412
   Synchrony Window,20 ms,00416.044400,B5,51,0.29856,8,6.375,9.095844
,,00416.888800,C1,87,0.25784,10,8.7,7.267049
,,00417.818400,B5,51,0.3044,6,8.5,9.878428
,,00420.783040,C3,74,0.19032,7,10.571429,7.594305
,,00442.796560,B5,161,0.73312,10,16.1,21.314081
,,00443.779520,B5,63,0.59744,6,10.5,14.303263
,,00457.561200,B5,65,0.34928,8,8.125,9.867085
,,00476.791120,C3,95,0.26312,7,13.571429,9.514757
,,00492.316160,D2,89,1.02056,6,14.833333,10.975985
,,00502.648080,C3,71,0.21936,6,11.833333,7.425557
,,00503.313040,B5,352,1.49624,9,39.111111,51.060844
,,00511.185360,B5,98,0.67464,8,12.25,15.014576
,,00517.250240,C3,64,0.30184,6,10.666667,5.647025
,,00542.753680,D2,121,1.19432,6,20.166667,14.758237
,,00544.414080,A2,58,1.03224,6,9.666667,16.387665
,,00557.884000,B5,359,1.75208,9,39.888889,44.839085
,,00564.884560,B4,55,0.69736,7,7.857143,6.895725
,,00565.372720,B5,76,0.31464,9,8.444444,9.464684
,,00566.689600,A1,72,1.27096,7,10.285714,11.435713
,,00587.702480,B5,159,0.60776,8,19.875,23.98665
,,00591.235920,C1,51,0.23296,9,5.666667,3.741657

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
