Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00007.148000,D4,59,0.34128,9,6.555556,7.041324
Description,after infection overnight,00008.175920,C3,55,0.55344,6,9.166667,6.202598
,,00013.917600,C3,81,0.24256,6,13.5,7.653975
Maestro Edge Settings,,00014.409840,C3,108,1.58128,6,18,12.138094
   Original File Time,08/26/2020 01:32:59,00051.161360,C2,91,0.19352,9,10.111111,7.370277
   Sampling Frequency,12.5 kHz,00052.361920,C1,75,0.1732,10,7.5,7.200695
   Voltage Scale,-5.48486178148311E-08 V/sample,00054.923120,B2,54,0.65392,8,6.75,4.520785
   Experiment Start Time,08/25/2020 15:32:43,00055.877600,C1,126,0.27136,11,11.454545,11.804188
   Referencing Method,Median,00066.042080,B1,129,1.13344,11,11.727273,16.52046
   Analog Mode Setting,Neural Spikes,00069.610720,B5,56,0.25,10,5.6,5.748043
   Plate Type,BioCircuit MEA 24,00077.611440,C3,167,1.20856,8,20.875,16.396933
   Digital Low Pass Filter,3 kHz Kaiser Window,00083.742400,D4,53,0.27832,9,5.888889,6.06345
   Digital High Pass Filter,200 Hz IIR,00083.533520,D5,106,0.51912,9,11.777778,7.375301
   Temperature Set Point,37.0 Degrees C,00084.153440,D5,106,1.11632,9,11.777778,10.911541
   Current Temperature,37.0 Degrees C,00086.523840,B1,112,0.36352,10,11.2,13.738996
   Heater Power,On,00091.581440,B6,114,1.8772,8,14.25,13.395429
   Barcode Plate Type,TwentyFourWellCircuit,00096.417120,B3,76,0.76576,6,12.666667,20.725721
   Plate Serial Number,66-1901,00098.510160,D5,54,0.23984,8,6.75,5.402546
   CO2 Conc. Set Point,5.0 %,00113.939760,B1,76,0.30872,8,9.5,11.779219
   Actual CO2 Conc.,5.0 %,00116.704720,D2,104,1.22312,7,14.857143,15.094261
   Gas Mixer Status,Regulating,00123.075920,B5,341,1.4196,11,31,42.138302
   AxIS Version,3.0.3.2,00125.795040,B5,175,0.76024,10,17.5,28.398064
   Maestro Edge Firmware,3.0.3.2,00150.606960,C3,126,0.93208,6,21,9.746795
   Maestro Edge BioCore Version,4B,00151.641200,C3,203,0.81096,6,33.833333,17.883108
,,00183.951680,C1,155,0.66584,11,14.090909,14.500499
AxIS Batch Process,,00187.101760,C2,55,0.24568,8,6.875,6.716352
   AxIS Version,3.0.3.2,00187.967440,D5,129,0.87952,10,12.9,8.287943
   File Name,o.n experimet read 5.raw,00189.240240,A3,79,1.05616,6,13.166667,21.216476
   Plate Type,BioCircuit MEA 24,00189.653840,B1,120,0.75568,13,9.230769,15.393074
   Requested File Section,0s to 10m0s,00195.636320,D5,59,0.16568,8,7.375,4.922842
   Actual File Section Run,0s to 10m0s,00195.703280,C3,84,0.38296,6,14,7.81025
   Recording Offset from File Start,0s,00203.295600,D4,64,0.404,10,6.4,6.452907
,,00205.434320,A2,88,1.4128,7,12.571429,21.546343
Spike Detector Settings,,00209.936880,B6,103,1.96432,7,14.714286,13.487712
   Method,Adaptive Threshold Crossing,00219.089840,D2,123,1.18928,6,20.5,18.209431
   Threshold,6,00224.744000,B1,91,0.37816,10,9.1,10.912836
   Threshold Status,Variable,00256.574000,B5,57,0.20112,11,5.181818,5.219164
   Threshold Crossing Only,True,00257.997360,B5,67,0.38384,9,7.444444,7.861454
   Pre-Spike Duration,0.84 ms,00261.379280,C1,62,0.23616,9,6.888889,6.17242
   Post-Spike Duration,2.16 ms,00265.055360,B5,318,1.3696,11,28.909091,39.018539
   Coincident Event Filter,Default (Well),00266.735840,B5,171,0.71136,9,19,24.702677
   Coincidence Occurrence Threshold,4 Electrodes,00271.392560,B3,51,0.50768,6,8.5,9.411872
   Coincidence Event Window,160 µs,00272.593760,D4,50,0.25832,7,7.142857,6.033918
   Allow Sample Overlap,false,00272.070880,B1,119,0.87784,10,11.9,15.959009
   Spike Count Interval,1 s,00279.067120,B5,157,0.66512,10,15.7,21.194574
,,00282.579440,B1,69,0.2384,9,7.666667,8.299933
Burst Detector Settings,,00293.580000,D5,168,0.64088,11,15.272727,12.821082
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00295.825200,D2,115,1.58592,7,16.428571,16.884964
   Maximum Inter-Spike Interval,100 ms,00298.262640,B1,70,0.31056,8,8.75,9.39082
   Minimum Number of Spikes,5,00314.128880,A3,84,1.28568,7,12,20.549591
   Enable Network Burst Detection,True,00326.185280,C2,70,0.42552,9,7.777778,7.329965
   Maximum Inter-Spike Interval (network bursts),100 ms,00330.620320,A2,67,1.23312,7,9.571429,16.994598
   Minimum Number of Spikes (network bursts),50,00344.941600,B1,115,0.30616,10,11.5,14.513786
   Minimum Participating Electrodes (%),35,00351.334240,D4,73,0.27744,9,8.111111,8.385761
   Synchrony Window,20 ms,00360.541040,D5,100,0.38808,11,9.090909,7.739563
,,00361.595520,D5,110,1.00592,9,12.222222,9.919429
,,00363.310160,B6,107,2.13328,8,13.375,13.99051
,,00365.613280,C3,51,0.3752,6,8.5,5.377422
,,00366.523680,C3,50,0.734,6,8.333333,6.289321
,,00371.337440,D2,125,1.28024,6,20.833333,15.47489
,,00386.022640,B1,117,0.54504,12,9.75,14.306904
,,00391.483520,C3,56,0.51464,6,9.333333,5.088112
,,00403.137440,C3,286,1.70328,7,40.857143,26.51915
,,00405.257040,C3,178,0.86104,6,29.666667,19.728716
,,00411.396320,D5,67,0.57112,10,6.7,4.9
,,00413.660960,D5,57,0.17824,8,7.125,5.555121
,,00415.691840,B1,134,0.80104,10,13.4,15.837929
,,00416.811600,B5,53,0.24304,9,5.888889,5.465944
,,00434.339040,B5,461,2.1404,10,46.1,65.941566
,,00437.179920,C1,143,0.51192,11,13,13.644846
,,00441.112800,B1,90,0.26784,9,10,10.445626
,,00450.291520,B5,50,0.20904,9,5.555556,6.668518
,,00455.548400,B2,76,1.16584,6,12.666667,5.05525
,,00457.474400,D5,98,1.25472,10,9.8,8.36421
,,00460.186640,B1,55,0.2892,6,9.166667,11.305112
,,00478.237760,C3,83,0.23256,7,11.857143,7.139999
,,00482.279040,A3,81,0.85984,9,9,14.344956
,,00490.054640,D4,51,0.2608,8,6.375,7.261844
,,00493.124800,A2,75,0.5624,8,9.375,12.082399
,,00498.808240,D5,175,1.17528,11,15.909091,16.127077
,,00501.899120,B3,76,0.55912,6,12.666667,13.299958
,,00509.817200,D2,87,1.0872,6,14.5,12.216792
,,00517.079120,C1,146,0.66168,11,13.272727,13.942028
,,00519.671200,B6,119,1.6948,7,17,14.822762
,,00529.137840,B5,255,1.74608,11,23.181818,24.730616
,,00536.887120,C1,144,0.50816,10,14.4,14.547853
,,00538.622320,C1,51,0.3336,6,8.5,7.228416
,,00576.502480,A3,67,0.46536,7,9.571429,13.896116
,,00577.429040,B3,62,0.43688,6,10.333333,9.58587
,,00579.010000,C3,50,0.39208,6,8.333333,3.858612
,,00581.388800,C3,447,2.90632,7,63.857143,43.281235
,,00589.414400,B5,272,1.4292,10,27.2,30.168859
,,00592.107440,B5,155,0.506,10,15.5,24.796169

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
