Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00013.166800,B1,161,1.53032,9,17.888889,32.559158
Description,after infection overnight,00017.350400,B4,50,0.6684,7,7.142857,7.059514
,,00026.678000,B5,213,1.10976,9,23.666667,28.217411
Maestro Edge Settings,,00033.055040,C3,53,0.15856,6,8.833333,6.361778
   Original File Time,08/27/2020 11:32:59,00045.892960,C1,100,0.12816,11,9.090909,6.815151
   Sampling Frequency,12.5 kHz,00053.942560,B1,113,1.1236,7,16.142857,30.684704
   Voltage Scale,-5.48486178148311E-08 V/sample,00057.043520,B3,130,1.18176,6,21.666667,30.313181
   Experiment Start Time,08/25/2020 15:32:43,00061.497280,C1,69,0.15072,9,7.666667,5.868939
   Referencing Method,Median,00062.563760,B5,270,1.41232,9,30,34.864819
   Analog Mode Setting,Neural Spikes,00087.854320,B5,50,0.19456,9,5.555556,5.25169
   Plate Type,BioCircuit MEA 24,00093.625520,B1,100,0.64096,9,11.111111,13.110169
   Digital Low Pass Filter,3 kHz Kaiser Window,00099.537840,C1,65,0.1696,9,7.222222,5.072317
   Digital High Pass Filter,200 Hz IIR,00101.367280,C3,52,0.26776,6,8.666667,6.774134
   Temperature Set Point,37.0 Degrees C,00103.320720,B5,65,0.32472,8,8.125,7.573597
   Current Temperature,37.0 Degrees C,00101.934720,C3,153,1.68192,6,25.5,16.650826
   Heater Power,On,00105.166880,C3,267,1.42224,7,38.142857,30.731224
   Barcode Plate Type,TwentyFourWellCircuit,00132.318880,D2,151,1.59632,8,18.875,19.566793
   Plate Serial Number,66-1901,00134.648240,B5,66,0.61904,8,8.25,7.964766
   CO2 Conc. Set Point,5.0 %,00137.022160,B3,60,0.40496,6,10,11.633286
   Actual CO2 Conc.,5.0 %,00138.850240,B1,113,0.86416,11,10.272727,14.129858
   Gas Mixer Status,Regulating,00142.540640,A2,54,1.24376,6,9,17.445152
   AxIS Version,3.0.3.2,00143.647680,B5,238,1.13752,9,26.444444,33.47673
   Maestro Edge Firmware,3.0.3.2,00152.009920,B5,50,0.31232,9,5.555556,5.166368
   Maestro Edge BioCore Version,4B,00169.797440,B1,99,0.61616,9,11,16.069294
,,00169.733440,B5,458,2.16344,10,45.8,61.088131
AxIS Batch Process,,00190.505200,B5,51,0.35216,6,8.5,9.569918
   AxIS Version,3.0.3.2,00190.136880,B1,120,1.24416,10,12,24.347485
   File Name,o.n experimet read 22.raw,00192.307520,B5,116,2.02696,8,14.5,19.723083
   Plate Type,BioCircuit MEA 24,00196.906240,B5,52,0.28568,9,5.777778,8.778481
   Requested File Section,0s to 10m0s,00197.819360,B5,132,1.49064,8,16.5,18.973665
   Actual File Section Run,0s to 10m0s,00201.462400,B5,53,0.39096,9,5.888889,8.697949
   Recording Offset from File Start,0s,00209.417680,B3,56,0.41088,6,9.333333,9.910713
,,00224.282880,D2,143,1.16784,7,20.428571,16.360729
Spike Detector Settings,,00254.998000,B5,253,1.33904,9,28.111111,34.252151
   Method,Adaptive Threshold Crossing,00265.268640,C3,78,0.41808,6,13,7.483315
   Threshold,6,00265.883440,C3,105,0.65344,6,17.5,16.357975
   Threshold Status,Variable,00267.671600,C3,158,0.4548,6,26.333333,17.931971
   Threshold Crossing Only,True,00269.488880,B5,69,0.41528,8,8.625,7.952004
   Pre-Spike Duration,0.84 ms,00268.250560,C3,218,1.94272,6,36.333333,28.187862
   Post-Spike Duration,2.16 ms,00272.784080,A1,94,1.55864,7,13.428571,13.615717
   Coincident Event Filter,Default (Well),00295.214240,B1,139,1.00016,11,12.636364,21.076797
   Coincidence Occurrence Threshold,4 Electrodes,00315.846560,C1,85,0.32232,7,12.142857,6.104532
   Coincidence Event Window,160 µs,00316.047360,B5,448,2.1516,9,49.777778,68.154694
   Allow Sample Overlap,false,00318.566720,B5,184,1.3056,6,30.666667,34.397999
   Spike Count Interval,1 s,00334.477920,C1,64,0.22808,9,7.111111,5.300827
,,00342.919840,B3,190,2.40984,6,31.666667,45.238873
Burst Detector Settings,,00349.102720,C1,53,0.16584,9,5.888889,3.813556
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00356.778160,B5,160,0.74328,8,20,23.505318
   Maximum Inter-Spike Interval,100 ms,00368.852480,D2,146,1.55168,6,24.333333,17.792007
   Minimum Number of Spikes,5,00407.952720,C3,73,0.23072,6,12.166667,7.776389
   Enable Network Burst Detection,True,00408.302240,C3,115,0.98928,6,19.166667,13.309354
   Maximum Inter-Spike Interval (network bursts),100 ms,00409.766080,C3,192,1.14264,7,27.428571,22.72731
   Minimum Number of Spikes (network bursts),50,00457.608240,B6,99,1.23712,6,16.5,13.5
   Minimum Participating Electrodes (%),35,00460.227360,B6,57,1.02736,7,8.142857,10.204041
   Synchrony Window,20 ms,00463.823440,B5,73,0.33136,9,8.111111,7.837863
,,00467.817120,B5,366,1.34512,8,45.75,53.672035
,,00469.428400,B5,73,0.57752,8,9.125,10.588171
,,00477.214160,B5,77,0.43544,9,8.555556,11.126656
,,00481.212800,B5,54,0.4608,7,7.714286,10.538559
,,00481.585040,B1,151,1.3092,10,15.1,26.549765
,,00486.088160,B5,87,1.12656,6,14.5,12.365948
,,00491.251680,B5,64,0.39544,9,7.111111,8.157402
,,00492.090960,B5,160,1.51576,8,20,20.958292
,,00494.560960,B5,59,0.31824,6,9.833333,10.853827
,,00496.069200,B5,73,0.40656,9,8.111111,11.049831
,,00497.633760,B5,55,0.30744,8,6.875,9.713876
,,00497.910960,B1,61,0.3996,6,10.166667,15.181312
,,00499.233920,B5,61,0.3044,8,7.625,9.191538
,,00501.337920,B3,161,0.92432,6,26.833333,32.152847
,,00526.490880,D2,153,1.57424,7,21.857143,19.111916
,,00529.912000,B1,102,0.7104,9,11.333333,14.794894
,,00534.266640,C1,89,0.17568,9,9.888889,6.081748
,,00540.713280,C3,113,0.40184,6,18.833333,10.761299
,,00541.224880,C3,391,2.82376,6,65.166667,44.786221
,,00583.794800,D2,135,1.12688,7,19.285714,15.988516
,,00584.601280,B5,416,1.86096,9,46.222222,62.492268

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
