Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00006.186320,C1,125,0.29104,10,12.5,9.415413
Description,after infection overnight,00012.485840,D5,99,0.36456,9,11,8.956686
,,00029.159200,C3,189,1.38736,7,27,16.370705
Maestro Edge Settings,,00037.986640,C3,285,1.07384,7,40.714286,27.747402
   Original File Time,08/26/2020 13:32:59,00039.348640,C3,61,0.70808,6,10.166667,10.36688
   Sampling Frequency,12.5 kHz,00045.226320,B1,178,1.02408,11,16.181818,30.19578
   Voltage Scale,-5.48486178148311E-08 V/sample,00053.094080,C1,86,0.3008,9,9.555556,8.111872
   Experiment Start Time,08/25/2020 15:32:43,00059.029440,B6,52,1.75136,6,8.666667,9.741093
   Referencing Method,Median,00065.117360,D3,55,1.042,8,6.875,9.019943
   Analog Mode Setting,Neural Spikes,00067.101120,B5,335,1.58936,10,33.5,41.548164
   Plate Type,BioCircuit MEA 24,00068.997760,B5,253,1.01928,10,25.3,37.145794
   Digital Low Pass Filter,3 kHz Kaiser Window,00078.563920,B5,56,0.4408,9,6.222222,10.27162
   Digital High Pass Filter,200 Hz IIR,00081.531200,B5,74,0.32488,10,7.4,10.537552
   Temperature Set Point,37.0 Degrees C,00083.578240,C1,76,0.22408,10,7.6,6.785278
   Current Temperature,37.0 Degrees C,00083.046320,D2,102,1.2228,6,17,14.888474
   Heater Power,On,00092.654160,B5,51,0.29048,9,5.666667,6.582806
   Barcode Plate Type,TwentyFourWellCircuit,00094.028080,D5,57,0.2168,8,7.125,6.697714
   Plate Serial Number,66-1901,00096.084400,A2,79,0.838,9,8.777778,14.558523
   CO2 Conc. Set Point,5.0 %,00096.946080,A3,81,1.24008,7,11.571429,19.426472
   Actual CO2 Conc.,4.8 %,00099.570400,C3,84,0.21728,7,12,7.483315
   Gas Mixer Status,Regulating,00099.982640,C3,351,2.42344,9,39,37.455158
   AxIS Version,3.0.3.2,00102.586240,B4,64,0.54432,6,10.666667,8.158159
   Maestro Edge Firmware,3.0.3.2,00110.837360,D5,99,0.40712,8,12.375,10.965143
   Maestro Edge BioCore Version,4B,00118.560800,B5,51,0.18008,10,5.1,5.127378
,,00135.916560,B1,147,0.79232,10,14.7,20.469734
AxIS Batch Process,,00146.318560,B5,266,1.73544,10,26.6,34.047615
   AxIS Version,3.0.3.2,00155.130880,B1,166,1.45952,11,15.090909,23.27095
   File Name,o.n experimet read 11.raw,00159.840880,C3,72,0.39792,6,12,5.859465
   Plate Type,BioCircuit MEA 24,00173.959840,B6,90,1.27872,8,11.25,12.285663
   Requested File Section,0s to 10m0s,00185.474800,B3,137,1.16168,8,17.125,24.664942
   Actual File Section Run,0s to 10m0s,00188.149680,D5,151,0.84264,8,18.875,16.011227
   Recording Offset from File Start,0s,00204.090080,C3,85,0.20472,6,14.166667,6.517072
,,00223.416080,D5,95,0.52376,6,15.833333,9.281104
Spike Detector Settings,,00226.317200,A2,87,0.8284,7,12.428571,20.388071
   Method,Adaptive Threshold Crossing,00232.044560,B1,144,0.9176,11,13.090909,20.398104
   Threshold,6,00244.615840,B5,55,0.21936,10,5.5,5.766281
   Threshold Status,Variable,00244.313200,A3,73,1.4224,8,9.125,17.772432
   Threshold Crossing Only,True,00248.632400,B1,135,0.94464,11,12.272727,19.447323
   Pre-Spike Duration,0.84 ms,00268.396400,C1,120,0.5956,9,13.333333,10.739336
   Post-Spike Duration,2.16 ms,00270.383760,A2,64,0.88104,6,10.666667,17.211107
   Coincident Event Filter,Default (Well),00281.265600,B6,61,1.03224,8,7.625,7.93627
   Coincidence Occurrence Threshold,4 Electrodes,00283.477920,B5,294,1.28424,9,32.666667,33.727665
   Coincidence Event Window,160 µs,00292.194640,B5,52,0.34696,9,5.777778,7.714024
   Allow Sample Overlap,false,00297.304880,B5,51,0.29376,8,6.375,8.07678
   Spike Count Interval,1 s,00298.200480,D5,56,0.22272,8,7,6.344289
,,00299.431040,B5,54,0.29392,9,6,7.468452
Burst Detector Settings,,00302.998240,B5,54,0.30032,9,6,9.416298
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00304.280640,B5,55,0.38232,10,5.5,7.351871
   Maximum Inter-Spike Interval,100 ms,00305.442720,B5,60,0.38312,9,6.666667,8.485282
   Minimum Number of Spikes,5,00307.122480,B5,62,0.26328,9,6.888889,8.949791
   Enable Network Burst Detection,True,00308.261200,B5,56,0.37168,9,6.222222,8.586524
   Maximum Inter-Spike Interval (network bursts),100 ms,00309.789840,B5,53,0.28792,7,7.571429,10.75516
   Minimum Number of Spikes (network bursts),50,00311.720480,B5,59,0.298,9,6.555556,7.588165
   Minimum Participating Electrodes (%),35,00313.648640,B5,54,0.36424,7,7.714286,8.939707
   Synchrony Window,20 ms,00314.976560,B3,53,0.59352,6,8.833333,8.473816
,,00327.624400,C1,134,0.26408,10,13.4,10.873822
,,00330.135680,B4,56,0.34728,8,7,7.28011
,,00333.447360,C3,54,0.52696,6,9,7.527727
,,00358.292640,C3,86,0.26304,6,14.333333,7.15697
,,00359.072640,D5,52,0.26768,7,7.428571,6.925257
