Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00002.422800,B3,114,1.26384,6,19,30.435724
Description,after infection overnight,00007.494880,D5,65,0.2748,6,10.833333,7.009913
,,00008.466240,D2,109,0.74824,7,15.571429,13.468027
Maestro Edge Settings,,00020.522880,B5,60,0.36016,8,7.5,6.873864
   Original File Time,08/26/2020 23:32:59,00033.582640,B5,57,0.3516,7,8.142857,7.790628
   Sampling Frequency,12.5 kHz,00036.320080,C1,75,0.3456,9,8.333333,5.497474
   Voltage Scale,-5.48486178148311E-08 V/sample,00041.601600,C3,98,0.22904,6,16.333333,10.354816
   Experiment Start Time,08/25/2020 15:32:43,00046.322720,B4,54,0.36528,7,7.714286,6.226998
   Referencing Method,Median,00056.714480,B1,51,0.30592,7,7.285714,9.452352
   Analog Mode Setting,Neural Spikes,00055.532400,B5,380,1.70968,10,38,46.561787
   Plate Type,BioCircuit MEA 24,00057.678320,B5,161,0.78832,9,17.888889,22.712915
   Digital Low Pass Filter,3 kHz Kaiser Window,00068.142400,A2,73,0.87848,7,10.428571,19.085201
   Digital High Pass Filter,200 Hz IIR,00069.415680,C3,70,0.1624,8,8.75,6.777721
   Temperature Set Point,37.0 Degrees C,00077.528000,B2,52,1.18744,6,8.666667,7.133645
   Current Temperature,37.0 Degrees C,00088.099760,B5,152,0.79952,9,16.888889,19.232174
   Heater Power,On,00091.256800,D2,91,0.74536,7,13,11.313708
   Barcode Plate Type,TwentyFourWellCircuit,00127.123200,C3,55,0.1984,6,9.166667,5.814254
   Plate Serial Number,66-1901,00130.100560,B5,144,0.90312,9,16,20.499323
   CO2 Conc. Set Point,5.0 %,00147.562720,B4,56,0.74592,7,8,9.75412
   Actual CO2 Conc.,5.0 %,00175.085600,B5,50,0.42616,8,6.25,7.980445
   Gas Mixer Status,Regulating,00173.907840,A1,135,2.1616,6,22.5,20.870634
   AxIS Version,3.0.3.2,00184.344160,B6,87,1.40976,8,10.875,10.717247
   Maestro Edge Firmware,3.0.3.2,00187.258560,B6,57,1.05368,7,8.142857,7.099871
   Maestro Edge BioCore Version,4B,00197.851920,D2,123,1.10184,7,17.571429,15.728565
,,00221.841840,B1,132,0.48592,12,11,15.083103
AxIS Batch Process,,00224.693360,B5,60,0.20984,10,6,6
   AxIS Version,3.0.3.2,00225.978000,A2,66,0.96568,8,8.25,12.244897
   File Name,o.n experimet read 16.raw,00235.973840,B5,58,0.30192,9,6.444444,5.852086
   Plate Type,BioCircuit MEA 24,00247.459200,B5,56,0.1804,10,5.6,6.069596
   Requested File Section,0s to 10m0s,00258.369680,B5,447,1.7216,8,55.875,64.425224
   Actual File Section Run,0s to 10m0s,00271.374320,B5,157,0.78328,9,17.444444,22.450495
   Recording Offset from File Start,0s,00273.118240,C1,103,0.19448,9,11.444444,8.551948
,,00277.656880,B1,137,0.9236,8,17.125,28.046556
Spike Detector Settings,,00280.769600,D2,52,0.88424,6,8.666667,7.930252
   Method,Adaptive Threshold Crossing,00281.800480,B3,214,3.08176,6,35.666667,53.797974
   Threshold,6,00301.209280,B1,122,0.56264,10,12.2,15.477726
   Threshold Status,Variable,00302.480960,B5,290,1.98856,9,32.222222,43.588425
   Threshold Crossing Only,True,00303.770480,C3,201,1.56896,7,28.714286,17.749964
   Pre-Spike Duration,0.84 ms,00305.548400,C3,189,0.59616,8,23.625,21.644501
   Post-Spike Duration,2.16 ms,00309.407200,B4,57,0.62824,8,7.125,8.022429
   Coincident Event Filter,Default (Well),00310.249040,B1,63,0.40952,6,10.5,12.698425
   Coincidence Occurrence Threshold,4 Electrodes,00315.085360,B5,54,0.25064,10,5.4,5.730619
   Coincidence Event Window,160 µs,00315.186160,C1,88,0.24072,9,9.777778,7.299586
   Allow Sample Overlap,false,00322.665760,B6,57,0.59248,8,7.125,6.132648
   Spike Count Interval,1 s,00342.162960,B1,144,1.28864,10,14.4,20.664946
,,00364.671280,B5,52,0.26488,8,6.5,6.422616
Burst Detector Settings,,00367.080960,B5,58,0.2048,8,7.25,7.101936
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00377.213280,C3,82,0.27736,6,13.666667,7.249521
   Maximum Inter-Spike Interval,100 ms,00377.908080,D2,85,0.89656,6,14.166667,10.350792
   Minimum Number of Spikes,5,00388.424800,B1,132,0.75384,10,13.2,16.797619
   Enable Network Burst Detection,True,00403.153280,A3,52,0.95744,7,7.428571,10.581077
   Maximum Inter-Spike Interval (network bursts),100 ms,00411.069200,B5,52,0.344,8,6.5,6.363961
   Minimum Number of Spikes (network bursts),50,00429.095520,B5,371,1.7084,10,37.1,47.601364
   Minimum Participating Electrodes (%),35,00430.953040,B5,51,0.38952,7,7.285714,10.0102
   Synchrony Window,20 ms,00431.510160,A2,66,0.5936,7,9.428571,15.81913
,,00432.006400,B5,53,0.49032,7,7.571429,11.197667
,,00436.884800,B1,51,0.2252,7,7.285714,8.778453
,,00443.249120,B6,58,1.25608,6,9.666667,7.866949
,,00454.500160,C3,58,0.30072,6,9.666667,5.792716
,,00469.469920,B1,162,0.93712,10,16.2,25.895174
,,00473.645600,B3,190,1.97912,6,31.666667,38.33913
,,00476.409600,C1,113,0.2472,8,14.125,7.078797
,,00477.555040,D5,63,0.35528,6,10.5,6.970175
,,00479.518240,D2,123,1.628,6,20.5,18.445868
,,00482.116720,C3,89,0.32776,7,12.714286,8.614179
,,00482.769040,C3,76,0.72344,7,10.857143,7.605047
,,00484.241600,C3,264,1.3532,7,37.714286,27.628735
,,00517.395600,B5,105,0.30952,10,10.5,11.101802
,,00519.160240,A3,61,0.9056,6,10.166667,14.016854
,,00524.100640,B5,155,1.03376,10,15.5,22.874659
,,00532.487200,B5,50,0.21432,8,6.25,6.417749
,,00553.381680,B5,98,0.33472,9,10.888889,11.589693
,,00557.212720,D2,75,0.87208,6,12.5,8.59748
,,00560.501440,B5,57,0.39208,9,6.333333,7.986099
,,00567.104800,D5,58,0.42912,6,9.666667,7.65216
,,00572.214480,D3,50,1.1284,6,8.333333,12.498889
,,00573.117840,C1,108,0.34792,9,12,7.363574
,,00576.235760,B5,553,2.078,10,55.3,76.04216
,,00581.878240,B3,60,0.47808,7,8.571429,8.909981
,,00581.739520,B1,172,1.06416,10,17.2,29.885784
,,00597.486400,A2,64,0.8024,7,9.142857,17.923876

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
