Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.685200,D5,57,0.3108,6,9.5,8.732124
Description,after infection overnight,00003.944320,D5,79,0.36384,7,11.285714,8.378788
,,00010.447440,B5,56,0.28824,10,5.6,5.003998
Maestro Edge Settings,,00021.733040,C3,232,1.08224,9,25.777778,22.409214
   Original File Time,08/26/2020 17:32:59,00022.922160,C3,183,0.8812,8,22.875,18.31282
   Sampling Frequency,12.5 kHz,00037.527680,B5,54,0.25224,9,6,6.218253
   Voltage Scale,-5.48486178148311E-08 V/sample,00038.313760,B1,131,0.48184,10,13.1,15.306535
   Experiment Start Time,08/25/2020 15:32:43,00049.265760,B1,69,0.33904,10,6.9,8.926926
   Referencing Method,Median,00059.173360,B5,324,1.85928,11,29.454545,37.606487
   Analog Mode Setting,Neural Spikes,00065.440720,B1,104,0.39072,11,9.454545,12.353606
   Plate Type,BioCircuit MEA 24,00068.052960,D2,123,1.42456,7,17.571429,17.532476
   Digital Low Pass Filter,3 kHz Kaiser Window,00082.685360,C3,72,0.27424,7,10.285714,7.666519
   Digital High Pass Filter,200 Hz IIR,00085.184400,D5,89,0.30784,7,12.714286,10.619581
   Temperature Set Point,37.0 Degrees C,00088.713360,B5,120,0.616,10,12,11.77285
   Current Temperature,37.0 Degrees C,00095.577520,B6,74,0.94648,8,9.25,7.479137
   Heater Power,On,00116.017920,B4,57,0.33704,6,9.5,5.251984
   Barcode Plate Type,TwentyFourWellCircuit,00117.847040,C3,100,0.5928,8,12.5,9.797959
   Plate Serial Number,66-1901,00118.084320,B5,187,1.15944,9,20.777778,21.358204
   CO2 Conc. Set Point,5.0 %,00119.698000,B5,61,0.41984,9,6.777778,6.494062
   Actual CO2 Conc.,5.0 %,00119.295200,C3,256,1.1208,8,32,24.657656
   Gas Mixer Status,Regulating,00120.520880,C3,51,0.53408,6,8.5,7.320064
   AxIS Version,3.0.3.2,00121.667200,B3,154,1.01904,7,22,26.656546
   Maestro Edge Firmware,3.0.3.2,00124.692480,C1,71,0.14904,10,7.1,6.057227
   Maestro Edge BioCore Version,4B,00134.171520,C1,106,0.528,10,10.6,9.28655
,,00140.551520,B1,66,0.31872,8,8.25,10.194974
AxIS Batch Process,,00147.568560,B5,50,0.23496,9,5.555556,6.238075
   AxIS Version,3.0.3.2,00150.140480,D5,55,0.31888,6,9.166667,7.033649
   File Name,o.n experimet read 13.raw,00157.273920,C3,50,0.27944,6,8.333333,5.312459
   Plate Type,BioCircuit MEA 24,00157.389840,B1,136,0.80848,11,12.363636,18.660959
   Requested File Section,0s to 10m0s,00162.075040,B5,220,1.27832,8,27.5,26.315395
   Actual File Section Run,0s to 10m0s,00163.532480,D5,52,0.24896,7,7.428571,6.477591
   Recording Offset from File Start,0s,00163.896400,B5,62,0.352,9,6.888889,8.595146
,,00169.881520,B5,61,0.38296,8,7.625,10.734728
Spike Detector Settings,,00171.673920,B1,53,0.43096,6,8.833333,11.682133
   Method,Adaptive Threshold Crossing,00182.082000,B5,61,0.16144,9,6.777778,7.36022
